tree	leaf	site	lat	long	loc	use	scan uploaded	bladeL	bladeW	sinusMinL	sinusNextL	petioleL	petioleW	bladeLtoWidestPoint	Area	Mass	Area/Mass	bladeBaseAngle	TotalL.PL+BL	PL/TL	SinusRatio	SinusRatioN	BL/BW	PL/PW	BL/BW.over.PL/PW	BL/BLWP	BW/SinusMinL
MB-MG516	E-A	Spruce Woods Provincial Park	49.76104	-99.15971	MB	T	y	107.31	69.928	42.78	54.33	6.378	1.309	67.551	4987.601	0.413	12076.51574	128.45	113.688	0.056100908	0.787410271		1.534578424	4.872421696	0.31495189	1.588577519	1.634595605
MB-MG516	E-B	Spruce Woods Provincial Park	49.76104	-99.15971	MB	T	y	104.912	70.418	36.495	49.937	7.318	1.059	75.761	4485.907	0.373	12026.56032	89.359	112.23	0.065205382	0.730820834		1.489846346	6.910292729	0.215598153	1.384775808	1.929524592
MB-MG516	N-A	Spruce Woods Provincial Park	49.76104	-99.15971	MB	T	y	99.962	60.916	41.288	40.83	4.676	1.101	49.326	3958.33	0.301	13150.59801	85.614	104.638	0.044687398	1.011217242		1.640981023	4.247048138	0.386381545	2.026558002	1.475392366
MB-MG516	N-B	Spruce Woods Provincial Park	49.76104	-99.15971	MB	T	y	99.699	65.478	26.492	51.577	5.696	1.29	52.7	3792.248	0.338	11219.66864	111.358	105.395	0.05404431	0.513639801		1.522633556	4.415503876	0.344838007	1.891821632	2.471614072
MB-MG516	S-A	Spruce Woods Provincial Park	49.76104	-99.15971	MB	T	y	117.556	67.776	43.145	54.1	6.167	1.077	67.234	5080.112	0.347	14640.09222	104.039	123.723	0.049845219	0.797504621		1.734478281	5.726090994	0.302907915	1.7484606	1.570888863
MB-MG516	S-B	Spruce Woods Provincial Park	49.76104	-99.15971	MB	T	y	102.529	70.76	32.048	38.247	6.852	1.255	72.817	4271.236	0.363	11766.49036	104.663	109.381	0.062643421	0.837921929		1.448968344	5.459760956	0.265390437	1.408036585	2.207938093
MB-MG516	W-A	Spruce Woods Provincial Park	49.76104	-99.15971	MB	T	y	125.304	60.49	37.34	46.135	7.98	1.421	80.461	4975.486	0.503	9891.622266	83.763	133.284	0.059872153	0.809363824		2.07148289	5.615763547	0.368869322	1.557325909	1.619978575
MB-MG516	W-B	Spruce Woods Provincial Park	49.76104	-99.15971	MB	T	y	106.102	60.771	37.637	40.543	8.02	1.746	43.572	5421.95	0.465	11660.10753	128.385	114.122	0.07027567	0.928323015		1.745931448	4.593356243	0.38009929	2.435095933	1.614661105
MB-MG513	E-A	Whiteshell Provincial Park	49.71209	-95.24496	MB	T	y	131.547	74.355	18.704	43.525	14.487	0.923	97.192	5129.642	0.444	11553.24775	66.921	146.034	0.099202925	0.42973004		1.769174904	15.69555796	0.112718191	1.353475595	3.975352866
MB-MG513	E-B	Whiteshell Provincial Park	49.71209	-95.24496	MB	T	y	118.771	74.175	19.749	47.865	12.115	1.089	90.865	4844.093	0.455	10646.35824	72.148	130.886	0.092561466	0.412597932		1.601226828	11.12488522	0.143931987	1.307114951	3.755886374
MB-MG513	N-A	Whiteshell Provincial Park	49.71209	-95.24496	MB	T	y	127.09	84.555	17.307	55.229	14.522	0.916	92.863	5196.358	0.314	16548.91083	63.894	141.612	0.102547807	0.313367977		1.503045355	15.85371179	0.094807158	1.368575213	4.885595424
MB-MG513	N-B	Whiteshell Provincial Park	49.71209	-95.24496	MB	T	y	86.427	47.501	22.27	30.829	9.342	1.039	48.058	2413.197	0.165	14625.43636	71.163	95.769	0.097547223	0.722371793		1.819477485	8.991337825	0.202358928	1.798389446	2.132959138
